year,month,density
2010,1,0.221421
2010,2,0.222741
2010,3,0.122796
2010,4,0.257778
2010,5,0.414939
2010,6,0.547321
2010,7,0.592568
2010,8,0.556121
2010,9,0.447827
2010,10,0.293261
2010,11,0.190642
2010,12,0.160643
2011,1,0.245791
2011,2,0.207862
2011,3,0.172488
2011,4,0.222084
2011,5,0.368890
2011,6,0.496306
2011,7,0.560687
2011,8,0.540993
2011,9,0.454948
2011,10,0.293562
2011,11,0.188983
2011,12,0.120674
2012,1,0.068884
2012,2,0.073496
2012,3,0.149314
2012,4,0.267590
2012,5,0.395799
2012,6,0.499652
2012,7,0.528984
2012,8,0.488999
2012,9,0.400122
2012,10,0.254601
2012,11,0.176054
2012,12,0.132126
2013,1,0.161710
2013,2,0.125804
2013,3,0.142993
2013,4,0.191004
2013,5,0.364393
2013,6,0.491052
2013,7,0.558217
2013,8,0.547523
2013,9,0.459412
2013,10,0.314324
2013,11,0.191021
2013,12,0.123128
2014,1,0.105773
2014,2,0.076718
2014,3,0.086363
2014,4,0.190425
2014,5,0.355996
2014,6,0.511692
2014,7,0.575475
2014,8,0.550484
2014,9,0.468222
2014,10,0.299616
2014,11,0.194709
2014,12,0.101599
2015,1,0.070322
2015,2,0.053714
2015,3,0.104862
2015,4,0.250651
2015,5,0.405026
2015,6,0.543603
2015,7,0.582501
2015,8,0.546692
2015,9,0.443040
2015,10,0.299008
2015,11,0.189121
2015,12,0.140227
